id,name,month,time,habitat,price
1,ワカメ,10月～7月,いつでも,海中,600
2,ウミブドウ,6月～9月,いつでも,海中,900
3,ナマコ,11月～4月,いつでも,海中,500
4,センジュナマコ,11月～2月,16時～翌9時,海中,10000
5,ヒトデ,通年,いつでも,海中,500
6,ウニ,5月～9月,いつでも,海中,1700
7,パイプウニ,5月～9月,16時～翌9時,海中,2000
8,イソギンチャク,通年,いつでも,海中,500
9,ミズクラゲ,7月～9月,いつでも,海中,600
10,ウミウシ,通年,いつでも,海中,600
11,アコヤガイ,通年,いつでも,海中,2800
12,ムールガイ,6月～12月,いつでも,海中,1500
13,オイスター,9月～2月,いつでも,海中,1100
14,ホタテ,通年,いつでも,海中,1200
15,バイガイ,通年,いつでも,海中,1000
16,サザエ,3月～5月、9月～12月,いつでも,海中,1000
17,アワビ,6月～1月,16時～翌9時,海中,2000
18,オオシャコガイ,5月～9月,いつでも,海中,15000
19,オウムガイ,3月～6月、9月～11月,16時～翌9時,海中,1800
20,タコ,通年,いつでも,海中,1200
21,メンダコ,3月～5月、9月～11月,いつでも,海中,6000
22,コウモリダコ,5月～8月,16時～翌9時,海中,10000
23,ホタルイカ,3月～6月,21時～翌4時,海中,1400
24,ガザミ,6月～11月,いつでも,海中,2200
25,ダンジネスクラブ,11月～5月,いつでも,海中,1900
26,ズワイガニ,11月～4月,いつでも,海中,6000
27,タラバガニ,11月～3月,いつでも,海中,8000
28,フジツボ,通年,いつでも,海中,600
29,タカアシガニ,3月～4月,いつでも,海中,12000
30,クルマエビ,6月～9月,16時～翌9時,海中,3000
31,アマエビ,9月～12月,16時～翌9時,海中,1400
32,シャコ,通年,16時～翌9時,海中,2500
33,イセエビ,10月～12月,21時～翌4時,海中,5000
34,ロブスター,4月～6月、12月～1月,いつでも,海中,4500
35,ダイオウグソクムシ,7月～10月,9時～16時、21時～翌4時,海中,12000
36,カブトガニ,7月～9月,21時～翌4時,海中,2500
37,ホヤ,4月～8月,いつでも,海中,1500
38,チンアナゴ,5月～10月,4時～21時,海中,2600
39,ヒラムシ,8月～9月,16時～翌9時,海中,700
40,カイロウドウケツ,10月～2月,いつでも,海中,5000
41,タナゴ,11月～3月,いつでも,川,900
42,オイカワ,通年,9時～16時,川,200
43,フナ,通年,いつでも,川,160
44,ウグイ,通年,16時～翌9時,川,240
45,コイ,通年,いつでも,池,300
46,ニシキゴイ,通年,16時～翌9時,池,4000
47,キンギョ,通年,いつでも,池,1300
48,デメキン,通年,9時～16時,池,1300
49,ランチュウ,通年,9時～16時,池,4500
50,メダカ,4月～8月,いつでも,池,300
51,ザリガニ,4月～9月,いつでも,池,200
52,スッポン,8月～9月,16時～翌9時,川,3750
53,カミツキガメ,4月～10月,21時～翌4時,川,5000
54,オタマジャクシ,3月～7月,いつでも,池,100
55,カエル,5月～8月,いつでも,池,120
56,ドンコ,通年,16時～翌9時,川,400
57,ドジョウ,3月～5月,いつでも,川,400
58,ナマズ,5月～10月,16時～翌9時,池,800
59,ライギョ,6月～8月,9時～16時,池,5500
60,ブルーギル,通年,9時～16時,川,180
61,イエローパーチ,10月～3月,いつでも,川,300
62,ブラックバス,通年,いつでも,川,400
63,ティラピア,6月～10月,いつでも,川,800
64,パイク,9月～12月,いつでも,川,1800
65,ワカサギ,12月～2月,いつでも,川,400
66,アユ,7月～9月,いつでも,川,900
67,ヤマメ,3月～6月、9月～11月,16時～翌9時,崖の上,1000
68,オオイワナ,3月～6月、9月～11月,16時～翌9時,崖の上,3800
69,ゴールデントラウト,3月～5月、9月～11月,16時～翌9時,崖の上,15000
70,イトウ,1月～3月、12月,16時～翌9時,崖の上,15000
71,サケ,9月,いつでも,河口,700
72,キングサーモン,9月,いつでも,河口,1800
73,シャンハイガニ,9月～11月,16時～翌9時,川,2000
74,グッピー,4月～11月,9時～16時,川,1300
75,ドクターフィッシュ,5月～9月,9時～16時,川,1500
76,エンゼルフィッシュ,5月～10月,16時～翌9時,川,3000
77,ベタ,5月～10月,9時～16時,川,2500
78,ネオンテトラ,4月～11月,9時～16時,川,500
79,レインボーフィッシュ,5月～10月,9時～16時,川,800
80,ピラニア,6月～9月,9時～16時、21時～翌4時,川,2500
81,アロワナ,6月～9月,16時～翌9時,川,10000
82,ドラド,6月～9月,4時～21時,川,15000
83,ガー,6月～9月,16時～翌9時,池,6000
84,ピラルク,6月～9月,16時～翌9時,川,10000
85,エンドリケリー,6月～9月,21時～翌4時,川,4000
86,チョウザメ,1月～3月、9月～12月,いつでも,河口,10000
87,クリオネ,12月～3月,いつでも,海,1000
88,タツノオトシゴ,4月～11月,いつでも,海,1100
89,クマノミ,4月～9月,いつでも,海,650
90,ナンヨウハギ,4月～9月,いつでも,海,1000
91,チョウチョウウオ,4月～9月,いつでも,海,1000
92,ナポレオンフィッシュ,7月～8月,4時～21時,海,10000
93,ミノカサゴ,4月～11月,いつでも,海,500
94,フグ,11月～2月,21時～翌4時,海,5000
95,ハリセンボン,7月～9月,いつでも,海,250
96,アンチョビ,通年,4時～21時,海,200
97,アジ,通年,いつでも,海,150
98,イシダイ,3月～11月,いつでも,海,5000
99,スズキ,1月～12月,いつでも,海,400
100,タイ,1月～12月,いつでも,海,3000
101,カレイ,10月～4月,いつでも,海,300
102,ヒラメ,通年,いつでも,海,800
103,イカ,12月～8月,いつでも,海,500
104,ウツボ,8月～10月,いつでも,海,2000
105,ハナヒゲウツボ,6月～10月,いつでも,海,600
106,マグロ,1月～4月、11月～12月,いつでも,桟橋,7000
107,カジキ,1月～4月、7月～9月、11月～12月,いつでも,桟橋,10000
108,ロウニンアジ,5月～10月,いつでも,桟橋,4500
109,シイラ,5月～10月,いつでも,桟橋,6000
110,マンボウ,7月～9月,4時～21時,海,4000
111,エイ,8月～11月,4時～21時,海,3000
112,ノコギリザメ,6月～9月,16時～翌9時,海,12000
113,シュモクザメ,6月～9月,16時～翌9時,海,8000
114,サメ,6月～9月,16時～翌9時,海,15000
115,ジンベエザメ,6月～9月,いつでも,海,13000
116,コバンザメ,6月～9月,いつでも,海,1500
117,チョウチンアンコウ,11月～3月,16時～翌9時,海,2500
118,リュウグウノツカイ,1月～5月、12月,いつでも,海,9000
119,デメニギス,通年,21時～翌4時,海,15000
120,シーラカンス,通年(雨の日、離島では晴れでも釣れる),いつでも,海,15000
121,モンシロチョウ,9月～6月,4時～19時,空中,160
122,モンキチョウ,3月～6月、9月～10月,4時～19時,空中,160
123,アゲハチョウ,3月～9月,4時～19時,空中,240
124,カラスアゲハ,3月～6月,4時～19時,空中,2500
125,アオスジアゲハ,4月～8月,4時～19時,空中,300
126,オオゴマダラ,通年,8時～19時,空中,1000
127,オオムラサキ,5月～8月,4時～19時,空中,3000
128,オオカバマダラ,9月～11月,4時～15時,空中,140
129,モルフォチョウ,12月～3月、6月～9月,17時～翌8時,空中,4000
130,ミイロタテハ,4月～9月,8時～17時,空中,3000
131,アカエリトリバネアゲハ,1月～2月、4月～9月、12月,8時～17時,空中,2500
132,アレキサンドラトリバネアゲハ,5月～9月,8時～16時,空中,4000
133,ガ,通年,19時～翌4時,街灯,130
134,ヨナグニサン,4月～9月,19時～翌4時,木,3000
135,ニシキオオツバメガ,4月～9月,8時～16時,花の近く,2500
136,ショウリョウバッタ,4月～11月,8時～19時,陸,200
137,トノサマバッタ,8月～11月,8時～19時,陸,600
138,イナゴ,8月～11月,8時～19時,陸,400
139,キリギリス,7月～9月,8時～17時,陸,160
140,コオロギ,9月～11月,17時～翌8時,陸,130
141,スズムシ,9月～10月,17時～翌8時,陸,430
142,カマキリ,3月～11月,8時～17時,花,430
143,ハナカマキリ,3月～11月,8時～17時,花,2400
144,ミツバチ,3月～7月,8時～17時,花,200
145,ハチ,通年,いつでも,木揺,2500
146,アブラゼミ,7月～8月,8時～17時,木,250
147,ミンミンゼミ,7月～8月,8時～17時,木,300
148,クマゼミ,7月～8月,8時～17時,木,500
149,ツクツクホウシ,8月～9月,8時～17時,木,400
150,ヒグラシ,7月～8月,4時～8時、16時～19時,木,550
151,セミのぬけがら,7月～8月,いつでも,木,10
152,アキアカネ,9月～10月,8時～19時,陸,180
153,ギンヤンマ,4月～10月,8時～17時,陸,230
154,オニヤンマ,5月～10月,8時～17時,空中,4500
155,イトトンボ,11月～2月,いつでも,空中,500
156,ホタル,6月,19時～翌4時,川の近くの空中,300
157,オケラ,1月～5月、11月～12月,いつでも,土の中,500
158,アメンボ,5月～9月,8時～19時,池,130
159,ゲンゴロウ,5月～9月,8時～19時,池,800
160,タガメ,4月～9月,19時～翌8時,川,2000
161,カメムシ,3月～10月,いつでも,花,120
162,ジンメンカメムシ,3月～10月,19時～翌8時,花,1000
163,てんとう虫,3月～6月、10月,8時～17時,花,200
164,ハンミョウ,2月～10月,いつでも,陸,1500
165,タマムシ,4月～8月,いつでも,切り株,2400
166,バイオリンムシ,5月～6月、9月～11月,いつでも,切り株,450
167,ゴマダラカミキリ,通年,いつでも,切り株,350
168,ルリボシカミキリ,5月～9月,いつでも,切り株,3000
169,ホウセキゾウムシ,7月～8月,いつでも,ヤシの木,800
170,フンコロガシ,12月～2月,いつでも,雪玉,3000
171,オオセンチコガネ,7月～9月,いつでも,陸,300
172,プラチナコガネ,7月～8月,23時～翌8時,木、ヤシの木,10000
173,カナブン,6月～8月,いつでも,木,200
174,ゴライアスオオツノハナムグリ,6月～9月,17時～翌8時,ヤシの木,8000
175,ノコギリクワガタ,7月～8月,いつでも,木、ヤシの木,2000
176,ミヤマクワガタ,7月～8月,いつでも,木,1000
177,オオクワガタ,7月～8月,23時～翌8時,木、ヤシの木,10000
178,ニジイロクワガタ,6月～9月,19時～翌8時,木、ヤシの木,6000
179,ホソアカクワガタ,7月～8月,17時～翌8時,ヤシの木,8000
180,オウゴンオニクワガタ,7月～8月,17時～翌8時,ヤシの木,12000
181,ギラファノコギリクワガタ,7月～8月,17時～翌8時,ヤシの木,12000
182,カブトムシ,7月～8月,17時～翌8時,木,1350
183,コーカサスオオカブト,7月～8月,17時～翌8時,ヤシの木,8000
184,ゾウカブト,7月～8月,17時～翌8時,ヤシの木,8000
185,ヘラクレスオオカブト,7月～8月,17時～翌8時,ヤシの木,12000
186,ナナフシ,7月～11月,4時～8時、17時～19時,ヤシの木、木,600
187,コノハムシ,7月～9月,いつでも,木の根元,600
188,ミノムシ,通年,いつでも,木揺,600
189,アリ,通年,いつでも,カブ,80
190,ヤドカリ,通年,19時～翌8時,砂浜,1000
191,フナムシ,通年,いつでも,岩場,200
192,ハエ,通年,いつでも,長靴、缶、タイヤ、腐ったカブ,60
193,カ,6月～9月,17時～翌4時,空中,130
194,ノミ,4月～11月,いつでも,住人,70
195,カタツムリ,通年,いつでも,雨の日の切り株、岩,250
196,ダンゴムシ,9月～6月,23時～翌16時,岩,250
197,ムカデ,9月～6月,16時～23時,岩,300
198,クモ,通年,19時～翌8時,木揺,600
199,タランチュラ,11月～4月,19時～翌4時,陸,8000
200,サソリ,5月～10月,19時～翌4時,陸,8000